Serial Number,Roll_Num,Uni_ID,Student Name, AML3201, CSL2301, CSL3307, CSL4207, CSL4208, CSL4305, CSL4318, CSL4336, CSL5210, CSP2301, ECL3311, GEW1601, GEW1603, GEW1604, GEW1605, GEW1607, GEW1608, GEW1609, GEW1610, GEW1611, GEW1613, AMP1201, CSP1307, CSP2210, ECP1311,Total
 85,10123495,20012085,AAA AAA85, 61.36, 53.57, , 60.66, 59.02, , , , 85.71, 58.33, , , , , 100, , , , , , , 58.62, , 63.93, , 63.47
 86,10123496,20012086,AAA AAA86, , 81.82, , 84.51, 89.47, , 93.1, 83.72, , 80.77, , , , , , , , , , , , , , , , 86.01
 87,10123497,20012087,AAA AAA87, 61.36, 67.86, , 62.3, 55.74, , , , 71.43, 70, , , , , , , , , 100, , , 55.17, , 77.05, , 68.15
 88,10123498,20012088,AAA AAA88, , 81.82, , 87.32, 89.47, , 90, 83.72, , 100, , , , , , , , , , , , , , , , 88.19
 89,10123499,20012089,AAA AAA89, 79.55, 82.14, , 80.33, 78.69, , , , 85.71, 76.67, , , 100, , , , , , , , , 82.76, , 85.25, , 82.18
 90,10123500,20012090,AAA AAA90, 81.82, 78.57, , 83.61, 81.97, , , , 85.71, 83.33, , , , , , , , , 100, , , 89.66, , 88.52, , 85.3
 91,10123501,20012091,AAA AAA91, 77.27, 75, , 75.41, 77.05, , , , 85.71, 76.67, , , 100, , , , , , , , , 89.66, , 80.33, , 79.73
 92,10123502,20012092,AAA AAA92, 75, 78.57, , 77.05, 81.97, , , , 85.71, 80, , 100, , , , , , , , , , 82.76, , 80.33, , 80.62
 93,10123503,20012093,AAA AAA93, 68.18, 71.43, , 60.66, 67.21, , , , 71.43, 60, , , , , 100, , , , , , , 82.76, , 75.41, , 70.38
 94,10123504,20012094,AAA AAA94, 100, 92.86, , 98.36, 98.36, , , , 92.86, 96.67, , , , 100, , , , , , , , 93.1, , 98.36, , 97.33
 95,10123505,20012095,AAA AAA95, , 78.79, , 88.73, 89.47, , 100, 88.37, , 92.31, , , , , , , , , , , , , , , , 90.74
 96,10123506,20012096,AAA AAA96, 79.55, 85.71, , 85.25, 81.97, , , , 85.71, 83.33, , 100, , , , , , , , , , 82.76, , 90.16, , 85.75
 97,10123507,20012097,AAA AAA97, 70.45, 75, , 72.13, 73.77, , , , 85.71, 73.33, , , 100, , , , , , , , , 82.76, , 78.69, , 76.84
 98,10123508,20012098,AAA AAA98, 88.64, 78.57, , 78.69, 83.61, , , , 85.71, 83.33, , , 100, , , , , , , , , 89.66, , 86.89, , 85.08
 99,10123509,20012099,AAA AAA99, 81.82, 78.57, , 77.05, 73.77, , , , 78.57, 76.67, , , , 100, , , , , , , , 79.31, , 88.52, , 81.29
 100,10123510,20012100,AAA AAA100, 75, 75, , 72.13, 75.41, , , , 78.57, 70, , , , , 100, , , , , , , 68.97, , 78.69, , 75.72
 101,10123511,20012101,AAA AAA101, , 75, , 75, 64.91, , 78.26, 65.12, , 76.19, , , , , , , , , , , , , , , , 70.91
 102,10123512,20012102,AAA AAA102, 81.82, 78.57, , 78.69, 70, , , , 93.33, 93.33, , , , , , 100, , , , , , 80, , 83.61, , 82.93
 103,10123513,20012103,AAA AAA103, 0, 0, , , 0, , , , 0, 0, , , 0, , , , , , , , , 0, , 0, , 
 104,10123514,20012104,AAA AAA104, 75, 78.57, , 75.41, 78.33, , , , 93.33, 76.67, , , , , , 100, , , , , , 80, , 78.69, , 79.38
 105,10123515,20012105,AAA AAA105, 88.64, 78.57, , 83.61, 83.33, , , , 86.67, 83.33, , , 100, , , , , , , , , 80, , 85.25, , 84.7
 106,10123516,20012106,AAA AAA106, 88.64, 82.14, , 85.25, 86.67, , , , 93.33, 86.67, , , 100, , , , , , , , , 86.67, , 91.8, , 88.69
 107,10123517,20012107,AAA AAA107, 88.64, 85.71, , 80.33, 83.33, , , , 100, 93.33, , , , , , 100, , , , , , 80, , 81.97, , 86.03
 108,10123518,20012108,AAA AAA108, 100, 96.43, , 100, 96.67, , , , 100, 93.33, , , , 100, , , , , , , , 93.33, , 100, , 98
 109,10123519,20012109,AAA AAA109, 0, 0, , , 75.86, , , , , 0, , , , , , , , , , , , 0, , , , 22.56
 110,10123520,20012110,AAA AAA110, 86.36, 78.57, , 86.89, 86.67, , , , 100, 88.33, , , , 100, , , , , , , , 93.33, , 88.52, , 88.69
 111,10123521,20012111,AAA AAA111, 100, 92.86, , 96.72, 95, , , , 93.33, 96.67, , , , 100, , , , , , , , 93.33, , 96.72, , 96.23
 112,10123522,20012112,AAA AAA112, 86.36, 89.29, , 88.52, 81.67, , , , 93.33, 90, , , , 100, , , , , , , , 80, , 90.16, , 88.25
 113,10123523,20012113,AAA AAA113, 86.36, 78.57, , 81.97, 80, , , , 86.67, 90, , , , , , , , , 100, , , 86.67, , 80.33, , 83.81
 114,10123524,20012114,AAA AAA114, 81.82, 89.29, , 80.33, 78.33, , , , 86.67, 93.33, , , , 100, , , , , , , , 86.67, , 85.25, , 85.37
 115,10123525,20012115,AAA AAA115, 88.64, 85.71, , 75.41, 75, , , , 100, 93.33, , , , , , , 100, , , , , 80, , 81.97, , 84.26
 116,10123526,20012116,AAA AAA116, 79.55, 75, , 68.85, 75, , , , 86.67, 76.67, , , 75, , , , , , , , , 80, , 72.13, , 75.17
 117,10123527,20012117,AAA AAA117, 72.73, 75, , 57.38, 63.33, , , , 80, 58.33, , , , , , 100, , , , , , 66.67, , 75.41, , 69.4
 118,10123528,20012118,AAA AAA118, , 78.79, , 88.73, 87.72, , 100, 88.37, , 84.62, , , , , , , , , , , , , , , , 89.58
 119,10123529,20012119,AAA AAA119, 84.09, 82.14, , 77.05, 78.33, , , , 80, 90, , 100, , , , , , , , , , 80, , 78.69, , 81.6
 120,10123530,20012120,AAA AAA120, 88.64, 82.14, , 81.97, 90, , , , 86.67, 83.33, , , , , , , , , 100, , , 80, , 85.25, , 85.59
 121,10123531,20012121,AAA AAA121, 81.82, 78.57, , 81.97, 81.67, , , , 86.67, 86.67, , , , 100, , , , , , , , 80, , 86.89, , 84.48
 122,10123532,20012122,AAA AAA122, 93.18, 85.71, , 88.52, 86.67, , , , 100, 93.33, , , , , , , , , 100, , , 86.67, , 93.44, , 91.57
 123,10123533,20012123,AAA AAA123, , 78.79, , 84.51, 80.7, , 96.67, 93.02, , 88.46, , , , , , , , , , , , , , , , 89.12
 124,10123534,20012124,AAA AAA124, , 75.76, , 85.92, 80.7, , 96.67, 79.07, , 84.62, , , , , , , , , , , , , , , , 84.49
 125,10123535,20012125,AAA AAA125, , 75.76, , 88.73, 91.23, , 96.67, 86.05, , 92.31, , , , , , , , , , , , , , , , 89.35
 126,10123536,20012126,AAA AAA126, 18.18, 10.71, , , 6.67, , , , 20, 23.33, , , 0, , , , , , , , , 20, , 21.31, , 17.18
 127,10123537,20012127,AAA AAA127, 77.27, 82.14, , 78.69, 76.67, , , , 80, 83.33, , 100, , , , , , , , , , 80, , 83.61, , 81.37
 128,10123538,20012128,AAA AAA128, 75, 76.67, , 75.86, 75.41, , , , 80, 80.65, , , , , , 75, , , , , , 80, , 75.41, , 76.82
 129,10123539,20012129,AAA AAA129, 77.27, 78.57, , 75.41, 76.67, , , , 80, 80, , , , , , 100, , , , , , 80, , 81.97, , 79.82
 130,10123540,20012130,AAA AAA130, 81.82, 82.14, , 78.69, 80, , , , 86.67, 86.67, , 100, , , , , , , , , , 86.67, , 85.25, , 84.04
 131,10123541,20012131,AAA AAA131, , 66.67, , 86.96, 82.46, , 80, 81.4, 0, 74.19, , , , , , , , , , , , , , 8.33, , 75.21
 132,10123542,20012132,AAA AAA132, 77.27, 83.33, , 81.03, 78.69, , , , 86.67, 80.65, , 100, , , , , , , , , , 93.33, , 80.33, , 82.12
 133,10123543,20012133,AAA AAA133, 77.27, 86.67, , 81.03, 81.97, , , , 100, 87.1, , , , , , , , 100, , , , 93.33, , 81.97, , 84.99
 134,10123544,20012134,AAA AAA134, 77.27, 76.67, , 79.31, 75.41, , , , 80, 80.65, , , , , , 100, , , , , , 86.67, , 78.69, , 79.69
 135,10123545,20012135,AAA AAA135, 75, 90, , 81.03, 73.77, , , , 86.67, 87.1, , 100, , , , , , , , , , 86.67, , 78.69, , 81.68
